FK_D;FK_P;Date;Time
1;3;04.02.2015;36.12
1;4;04.02.2015;33.72
1;5;04.02.2015;24.78
1;1;18.02.2015;29.78
1;3;18.02.2015;38.16
1;4;18.02.2015;31.7
1;7;18.02.2015;30.2
1;8;18.02.2015;35.8
1;10;18.02.2015;32.9
1;3;27.02.2015;36.6
1;4;27.02.2015;35.6
1;6;27.02.2015;46.5
1;8;27.02.2015;35.3
1;10;27.02.2015;38.1
1;1;11.03.2015;26.65
1;11;11.03.2015;27.63
1;1;13.03.2015;23.37
1;5;13.03.2015;21.42
1;9;13.03.2015;26.89
3;1;21.01.2015;20
3;3;21.01.2015;24.21
3;4;21.01.2015;24.21
3;7;21.01.2015;19.88
3;11;21.01.2015;16.84
3;2;06.02.2015;19.26
3;10;06.02.2015;22.55
3;11;06.02.2015;16.23
3;1;04.03.2015;19.52
3;7;04.03.2015;19.82
3;11;04.03.2015;15.31
4;1;21.01.2015;43.36
4;3;21.01.2015;51.9
4;4;21.01.2015;51.9
4;7;21.01.2015;44.64
4;11;21.01.2015;37.87
4;1;13.02.2015;51.09
4;3;13.02.2015;51.09
4;4;13.02.2015;52.33
4;6;13.02.2015;62.95
4;8;13.02.2015;62.71
4;1;04.03.2015;44.02
4;7;04.03.2015;44.84
4;11;04.03.2015;36
4;1;11.03.2015;44.58
4;11;11.03.2015;38.85
5;3;13.02.2015;21.8
5;4;13.02.2015;21.8
5;6;13.02.2015;25.6
5;8;13.02.2015;25.6
6;1;14.01.2015;43.16
6;7;14.01.2015;44.26
6;12;14.01.2015;45.73
6;1;16.01.2015;41.99
6;5;16.01.2015;39.93
6;7;16.01.2015;42.22
6;11;16.01.2015;34.23
6;1;06.02.2015;42.74
6;10;06.02.2015;45.23
6;11;06.02.2015;33.87
6;1;11.02.2015;39.8
6;3;11.02.2015;45.7
6;4;11.02.2015;50.5
6;5;11.02.2015;38.3
6;11;11.02.2015;33.2
6;1;13.02.2015;39.9
6;2;13.02.2015;41.7
6;3;13.02.2015;49.3
6;4;13.02.2015;49.3
6;5;13.02.2015;38.3
6;6;13.02.2015;61.6
6;7;13.02.2015;41.4
6;8;13.02.2015;62.06
6;11;13.02.2015;33.8
6;1;06.03.2015;39.95
6;2;06.03.2015;42.25
6;5;06.03.2015;41.27
6;7;06.03.2015;42.23
7;1;21.01.2015;14.39
7;3;21.01.2015;16.57
7;4;21.01.2015;16.57
7;7;21.01.2015;14.45
7;11;21.01.2015;12.53
8;1;14.01.2015;33.12
8;7;14.01.2015;34.88
8;12;14.01.2015;38.1
8;1;16.01.2015;33.19
8;5;16.01.2015;32.47
8;7;16.01.2015;33.44
8;11;16.01.2015;27.78
8;1;21.01.2015;32.46
8;3;21.01.2015;38.69
8;4;21.01.2015;38.28
8;7;21.01.2015;34.07
8;11;21.01.2015;29.07
8;2;21.01.2015;32.89
8;10;21.01.2015;35.33
8;11;21.01.2015;29.34
1;1;21.03.2015;22.16
1;2;21.03.2015;26.08
1;3;21.03.2015;34.45
1;4;21.03.2015;31.44
1;5;21.03.2015;18.71
1;7;21.03.2015;25.34
1;9;21.03.2015;24.28
1;10;21.03.2015;31.3
4;1;21.03.2015;39.65
4;2;21.03.2015;40.6
4;3;21.03.2015;45.61
4;4;21.03.2015;47.58
4;7;21.03.2015;39.6
4;9;21.03.2015;38.5
4;10;21.03.2015;40.8
4;11;21.03.2015;32.66
1;11;21.03.2015;22.76
6;2;21.03.2015;38.59
6;4;21.03.2015;45.56
7;2;21.03.2015;14.28
7;3;21.03.2015;15.45
7;7;21.03.2015;14.11
7;10;21.03.2015;14.03
8;3;21.03.2015;34.58
8;7;21.03.2015;31.28
4;5;20.03.2015;38.1
4;10;20.03.2015;50
4;11;20.03.2015;34.1
1;3;20.03.2015;39.1
1;4;20.03.2015;34.2
1;5;20.03.2015;19.8
1;11;20.03.2015;21.9
3;3;02.04.2015;19.96
3;4;02.04.2015;18.53
3;5;02.04.2015;15.58
3;7;02.04.2015;17.49
3;11;02.04.2015;14.72
3;13;02.04.2015;31.46
3;14;02.04.2015;18.53
